task,task_status,classification,reason,related_open_prs,related_closed_prs,related_merged_prs,owner,title
hermit-oci-dropin-design,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1442,,,https://github.com/rrnewton/hermit/pull/1442,,"P1 (RFC): design proposal + impl plan for a drop-in `podman run -it ubuntu` replacement — pull + run an OCI image (hermit oci? / hermit run -it <image>), reusing an existing Rust OCI library"
job_cpu_at_kill,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/hermit/pull/1571,https://github.com/rrnewton/hermit/pull/1571,,,hermit-243,job-cpu-at-kill-splits-livelock-from-flake: record CPU-at-kill so no_result divides into livelock vs contention
kvm-compat-ratchet-post-demo5,IN_PROGRESS,LANDED,"merged-main-pr=https://github.com/rrnewton/reverie/pull/315,https://github.com/rrnewton/reverie/pull/318; main-sha=reverie:2f812840b718",,,"https://github.com/rrnewton/reverie/pull/315,https://github.com/rrnewton/reverie/pull/318",,"P2: KVM backend compat ratcheting — run the ptrace corpus under --backend kvm, report current corpus %/B-level, fix the next batch of failures toward parity"
kvm-corpus-round-nongated,IN_PROGRESS,LANDED,"merged-main-pr=https://github.com/rrnewton/reverie/pull/344; main-sha=reverie:e376686edbd1,reverie:e0db08120887; tracked-artifact=experiments/kvm_b3_corpus_sweep_20260730,experiments/kvm_inet_connect_20260802/,experiments/kvm_nongated_corpus_triage_20260731/",,,https://github.com/rrnewton/reverie/pull/344,,P2: KVM non-gated corpus work-ahead — next non-gated corpus batch toward B3 105/183+ (avoid t
kvm_example_parity_milestone,IN_PROGRESS,LANDED,"tracked-artifact=experiments/kvm_b3_corpus_sweep_20260730/,experiments/kvm_corpus_parity_postmerge_20260730/,experiments/kvm_corpus_parity_postmerge_20260730/",,,,,KVM example-parity milestone: 5/5 frozen examples byte-identical to ptrace at landed main; drive toward B3 full-corpus
kvm_only_pipe2_o,IN_PROGRESS,LANDED,main-sha=reverie:79517704b0d1,,,,hermit-kvm,KVM-only: pipe2 O_NONBLOCK empty-pipe read() LIVELOCKS under DBI (blocking-poll/scheduler-gated); flag-semantics-only fix
land-pr-gate-deadline-shorter-than-gate-distribution,IN_PROGRESS,LANDED,"merged-main-pr=https://github.com/rrnewton/hermit/pull/1219; main-sha=dev-hermit:a98209d47037,dev-hermit:48b0ec4048a8",,,https://github.com/rrnewton/hermit/pull/1219,hermit-251,"P1: land-pr.sh's gate-poll deadline (~600s) is SHORTER than the observed demo-gate duration distribution (372-864s, several >600s) — it abandons valid landings on a coin flip"
landing-skills-redundancy-and-discoverability,IN_PROGRESS,LANDED,"main-sha=agent-utils:ec4ddf07689f,agent-utils:02e6af8ecf23,dev-hermit:d18298a7e42a,agent-utils:7d4ed141aa95",,,,hermit-ptw,"P1: THREE overlapping landing skills, and the canonical one may not be DISCOVERABLE — `agent-utils/skills/pr-landing-planner/` is not in `.claude/skills/`"
liteinst-instrumentation-stats,IN_PROGRESS,IN-FLIGHT,"open-pr=https://github.com/rrnewton/hermit/pull/1412,https://github.com/rrnewton/hermit/pull/1451","https://github.com/rrnewton/hermit/pull/1412,https://github.com/rrnewton/hermit/pull/1451",,"https://github.com/rrnewton/reverie/pull/320,https://github.com/rrnewton/reverie/pull/362",hermit-liteinst,"P1: LiteInst library method to print instrumentation stats at end of hermit run — distinct RIPs patched, cacheline straddlers, patch-site instruction-length distribution + straddle-prefix breakdown"
liteinst-lane-restaffed-ratchet-toward-ptrace-envelope,IN_PROGRESS,LANDED,"tracked-artifact=experiments/liteinst-straddler-rate_20260804/,experiments/liteinst-straddler-rate_20260804/",,,,hermit-liteinst,LiteInst lane: ratchet toward the ptrace envelope — lane was UNSTAFFED for hours because an absent agent generates no wakeup
load-bearing-shorthand-must-be-defined,IN_PROGRESS,LANDED,"merged-main-pr=https://github.com/rrnewton/reverie/pull/358; main-sha=dev-hermit:c481296dd80d,reverie:d5b95fea4da7",,,https://github.com/rrnewton/reverie/pull/358,hermit-251,P1: the fleet generates load-bearing shorthand faster than it defines it — the owner has hit THREE undefined terms today; establish where terms get defined and make artifacts self-explaining
locally-validated-label-has-no-evidence-binding,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/hermit/pull/1578,https://github.com/rrnewton/hermit/pull/1578,,,hermit-ptw,"P0: the `locally-validated` label asserts a validate happened with NOTHING BINDING IT to one — shared-account application, no signer attribution, and #1574/#1565/#1545 have no evidence comment"
logdiff-unsafe-strip-lines-rename,IN_PROGRESS,STRANDED,closed-unmerged-pr=hermit#1444@e4586cc5ffb380a17fe1434bccfc67e84df4ca68:closed-unmerged,,https://github.com/rrnewton/hermit/pull/1444,,,P2: rename hermit log-diff --strip-lines → --unsafe-strip-lines with a scary --help warning ('You PROBABLY DO NOT WANT THIS')
make-all-backends-default-build,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1433,,,https://github.com/rrnewton/hermit/pull/1433,,P0: `make` in ~/work/dev-hermit/hermit must build hermit with EVERY backend built + configured (--features third-party-backends + deps) — ASAP
make_plugin_detcore_build,IN_PROGRESS,STRANDED,closed-unmerged-pr=hermit#1564@7c7838fb3516ac0e584911c5bf73a7de8e39b7a5:closed-unmerged,,https://github.com/rrnewton/hermit/pull/1564,,hermit-247,Make plugin Detcore build ID cover resolved dependencies
make_stale_hermit_dir,IN_PROGRESS,STRANDED,closed-unmerged-pr=hermit#1564@7c7838fb3516ac0e584911c5bf73a7de8e39b7a5:closed-unmerged,,https://github.com/rrnewton/hermit/pull/1564,,hermit-247,Make stale HERMIT_DIR plugin repair command effective
matrix-tsv-relocate-to-parent,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/hermit/pull/1498,https://github.com/rrnewton/hermit/pull/1498,,,,P0: REMOVE tests/backend-parity/matrix.tsv from the hermit repo → relocate compat-tracking to the dev-hermit PARENT (eliminates the ~100-PR conflict cluster at the source)
memory-caps-must-scale-with-job-count-not-be-constants,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/hermit/pull/1583,https://github.com/rrnewton/hermit/pull/1583,,,hermit-231b,P1: 10 DAG nodes carry a FIXED hard_mem_max_bytes against an nproc-SCALED job count — replace with cap = rss_baseline + per_worker x pinned_jobs + headroom
narrow-fix-for-vfork-reap-livelock-without-rollback-regression,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/hermit/pull/1558,https://github.com/rrnewton/hermit/pull/1558,,,hermit-250,"P1 `livelock/detcore_misc` (NO LONGER THE DRAIN BLOCKER — marked KNOWN FAILURE per owner, drain proceeding, hermit#1556 landed): find a NARROW fix for the vfork/reap livelock that does not break the SyncWaitOwner rollback contract"
nightly-demo-sweep-ci,IN_PROGRESS,LANDED,main-sha=dev-hermit:005ce1ab78fd,,,,,P1: Add full demo sweep to 'super validate' + a nightly CI job
parallel-experiment-runner,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/agent-utils/pull/8,https://github.com/rrnewton/agent-utils/pull/8,,,hermit-220,P1: Parallel calibrated experiment runner (N concurrent seed-sweep VMs) — generalize safe-ci-dag-runner into agent-utils
parity-column-overstates-what-it-measures,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/dev-hermit/pull/30,https://github.com/rrnewton/dev-hermit/pull/30,https://github.com/rrnewton/dev-hermit/pull/29,,hermit-238b,P1: the scorecard's `parity%` column measures PIPED-STDOUT SHA-256 EQUALITY ONLY — it reads as full trace parity and is an upper bound
policy-demo-touching-commits-mandatory-adversarial-review,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/dev-hermit/pull/25,https://github.com/rrnewton/dev-hermit/pull/25,,,,P1: enforce — ALL demo-touching commits must mechanically get adversarial review at least once (independent of post-facto-human-review tagging)
portable-ci-is-admission-limited-runner-supply-not-topology,IN_PROGRESS,LANDED,"merged-main-pr=https://github.com/rrnewton/hermit/pull/1580; tracked-artifact=ai_docs/,ai_docs/portable-ci-admission-limited-not-topology_20260804.md",,,https://github.com/rrnewton/hermit/pull/1580,hermit-ghdag,P1: portable CI's 91% dead wall is RUNNER SUPPLY / ADMISSION LATENCY — we peaked 8 CONCURRENT. Topology is near-optimal; flattening was priced at +5.7h and REFUTED. The lever is the org runner pool.
pr_359_correct_vendored,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/reverie/pull/359,https://github.com/rrnewton/reverie/pull/359,,,hermit-247,PR #359: correct vendored-source license and provenance metadata
pr_359_key_dynamorio,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/reverie/pull/359,https://github.com/rrnewton/reverie/pull/359,,,hermit-247,PR #359: key DynamoRIO cached install to vendored source content
proxy-matching-defect-class-review-rule,IN_PROGRESS,LANDED,"merged-main-pr=https://github.com/rrnewton/hermit/pull/1574; main-sha=dev-hermit:df3d0b5dfd67,dev-hermit:df3d0b5dfd67",,,https://github.com/rrnewton/hermit/pull/1574,hermit-codex-rev,P1: ELEVEN instances of one defect — a mechanism keying on a PROXY for a condition rather than the condition itself. Make it a review rule and a lint where possible.
rb-drb-modern-frontier-research,IN_PROGRESS,UNVERIFIABLE,implemented-tag-without-implementation-reference,,,,,Research: current Debian Reproducible Builds frontier (which packages still non-reproducible) + distro comparison
reconcile_hermit_1219_publish,IN_PROGRESS,LANDED,"merged-main-pr=https://github.com/rrnewton/hermit/pull/1219; main-sha=hermit:0f891e432a75,hermit:874798a437b7",,,https://github.com/rrnewton/hermit/pull/1219,hermit-247,Reconcile Hermit #1219 publish surface and exact-head evidence
relocate-generated-output-to-hermit-ignored,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1437,,https://github.com/rrnewton/hermit/pull/1444,https://github.com/rrnewton/hermit/pull/1437,,"P2: our generated gitignored output moves from target/ to hermit/ignored/ (target/ = cargo-only), mirroring dev-hermit/ignored/"
relocate-tick-hub-config-into-version-control,IN_PROGRESS,LANDED,"main-sha=dev-hermit:df8234dbd2ae,dev-hermit:df8234dbd2ae",,,,hermit-238b,"P1: tick-hub + hermit-dev plugin config/logic must live version-controlled in dev-hermit (agent-utils), not in ~/.orc — ~/.orc becomes a thin reference"
rename_public_detcore_package,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/hermit/pull/1585,https://github.com/rrnewton/hermit/pull/1585,https://github.com/rrnewton/hermit/pull/1582,,hermit-247,Rename public Detcore package to hermit-detcore
reserve-crate-names-hermit-run-hermetic-infra,IN_PROGRESS,UNVERIFIABLE,implementation-claim-without-verifiable-reference,,,,hermit-247,P1: Reserve (squat) crates.io names hermit-run + hermetic-infra via placeholder publish
resolve_hermit_digest_crate,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1219,,,https://github.com/rrnewton/hermit/pull/1219,hermit-247,Resolve Hermit digest crate name collision before 0.2 publication
result-level-detector-a-green-must-have-a-nonzero-executed-count,IN_PROGRESS,LANDED,"merged-main-pr=https://github.com/rrnewton/agent-utils/pull/13,https://github.com/rrnewton/agent-utils/pull/14; main-sha=dev-hermit:e460cc9a7224,dev-hermit:e460cc9a7224,dev-hermit:e460cc9a7224,dev-hermit:e460cc9a7224",,,"https://github.com/rrnewton/agent-utils/pull/13,https://github.com/rrnewton/agent-utils/pull/14",hermit-243,P1: RESULT-LEVEL detector — a GREEN must carry a NONZERO EXECUTED COUNT. The source lint provably does NOT cover this (verified by planting a feature-gated fixture).
retired_agents_leave_detached,IN_PROGRESS,LANDED,"main-sha=dev-hermit:6f916462c6bb,dev-hermit:6f916462c6bb",,,,hermit-251,P2: FORWARD LEAK FIXED (reconciler live) — residual is 8 LEGACY unmanaged containers the reconciler cannot attribute; 2 are provably hermit-230's and hold 18 zombies
reverie-has-no-ledger-receipt-writer-so-every-pr-reads-not-validated,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/reverie/pull/364,https://github.com/rrnewton/reverie/pull/364,,,hermit-251,P1 (`drain/reverie`): reverie has NO ledger receipt writer — so `ci-hub validate-status` reads NOT-VALIDATED for EVERY reverie PR regardless of test results. The landing signal does not exist for that repo.
reverie-perf-rdpmc-read-primitive,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/reverie/pull/363,https://github.com/rrnewton/reverie/pull/363,,,hermit-e9patch,P1: add an rdpmc read primitive to reverie perf.rs — MEASURED ~14 ns vs ~239 ns for the read() fallback on the index!=0 live case (~17x)
reverie_337_fix_liteinst,IN_PROGRESS,LANDED,main-sha=reverie:9e7af7df8d55,,https://github.com/rrnewton/reverie/pull/337,,hermit-sabre,Reverie #337: fix LiteInst lifecycle supervisor LD_PRELOAD/tool_data regression
reverie_345_correct_so,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/reverie/pull/345,,,https://github.com/rrnewton/reverie/pull/345,hermit-238b,Reverie #345: correct SO_INCOMING_CPU scope and validation claims
runner-cpu-affinity-single-core-runs,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/agent-utils/pull/15,https://github.com/rrnewton/agent-utils/pull/15,,,hermit-220,P1: safe-ci-dag-runner must support constraining a whole process tree to ONE core (cpuset) for sequential-execution measurement — including native and non-hermit modes
sabre-detlog-forwarder,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1448,,,https://github.com/rrnewton/hermit/pull/1448,,P1: SaBRe injected process has no tracing subscriber/forwarder — add one so per-syscall DETLOG (inbound/finish) is visible + enables bitwise-DETLOG verification
sabre-timed-progress-bar-verify-determinism,IN_PROGRESS,LANDED,"merged-main-pr=https://github.com/rrnewton/hermit/pull/1520; main-sha=hermit:4e6e0f9cb16a,hermit:0f891e432a75",,,https://github.com/rrnewton/hermit/pull/1520,hermit-sabre,P1: SaBRe timed-progress-bar verify determinism failure (busy-wait polling) — the remaining validate red on main; fix or honestly gate the cell
safe-ci-dag-runner-library-mode,IN_PROGRESS,LANDED,"tracked-artifact=ai_docs/safe-ci-dag-runner-library-mode-audit_20260804.md,ai_docs/safe-ci-dag-runner-library-mode-audit_20260804.md",,,,hermit-226,P1: expose safe-ci-dag-runner as a LIBRARY (not just a CLI) so validate calls it in-process with typed results — and keep the Rust+Python implementations in sync past cross-check
scheduler-vtime-jump-unproductive-pollers,IN_PROGRESS,LANDED,"tracked-artifact=ai_docs/demo5-residual-wedge-bisect-invalid-latent-scheduler-bug_20260731.md,ai_docs/scheduler-vtime-jump-unproductive-pollers-explainer_20260730.md,experiments/demo5_bisect_20260731/results.csv",,,,,P1 FOUNDATION: core-scheduler forward-progress — jump virtual time past unproductive yielding pollers to the pending timer deadline (unifies demo5-HPET / SIGCHLD-starvation / nix-sequentialization / priority-aging)
select-tests-separate-config-from-machinery,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/hermit/pull/1552,https://github.com/rrnewton/hermit/pull/1552,,,hermit-251,"P1: `select-tests.rs` is ~1,000 lines where configuration is indistinguishable from machinery — extract the path rules into an external declarative format"
self-close-instruction-contradicts-task-lifecycle,IN_PROGRESS,LANDED,"main-sha=dev-hermit:8f4bf08497ba,dev-hermit:8f4bf08497ba",,,,hermit-251,P1: agents are being instructed to CLOSE THEIR OWN TASKS — contradicts the lifecycle and would make 79 unlanded items read as DONE
split-matrix-asymmetric-tests-from-code,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/hermit/pull/1551,https://github.com/rrnewton/hermit/pull/1551,,,hermit-247,"P0 METHODOLOGY: split every matrix-symmetry-violating PR — land the CODE changes, quarantine the asymmetric NEW TESTS into a separate PR for later evaluation"
sprint-fbsource-mini-release-import,IN_PROGRESS,IN-FLIGHT,open-phabricator-diff,,,,,"P0: 2nd fbsource mega-import — green reverie+hermit diffs (reverie = pure 1st-party, NO sabre/e9patch/dynamorio); fbsource hermetic_infra builds; matching hermit --version"
study-min-vtime-scheduler-alternatives,IN_PROGRESS,LANDED,tracked-artifact=ai_docs/min-vtime-scheduler-study.md,,,,,"RESEARCH+PROTOTYPE (branch-only, NO LAND without owner approval): min-vtime scheduling algorithm alternatives for detcore"
super-validate-audit,IN_PROGRESS,UNVERIFIABLE,implementation-claim-without-verifiable-reference,,,,hermit-238b,"P1: audit the 'super validate' level — what it actually runs, is it real (vs aspirational), and is it scheduled nightly (workflow/cron)?"
sweep-for-conservative-constants-blocking-capacity,IN_PROGRESS,UNVERIFIABLE,implemented-tag-without-implementation-reference,,,,hermit-238b,"P1: THREE conservative constants blocked real work tonight (-j 2, 8 GiB mem cap, 200 GB disk cap) — sweep for the rest and derive them"
test-shrink-optimization-skill,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1416,,,https://github.com/rrnewton/hermit/pull/1416,,"P1: hermit/-level SKILL — test-shrink optimization methodology (same surface+coverage, faster)"
tg_implemented_tag_landmine,IN_PROGRESS,UNVERIFIABLE,implemented-tag-without-implementation-reference,,,,,"tg implemented-tag 'landmine' REFUTED — tag is reliable, audit filter is sound"
tick-hub-usage-audit,IN_PROGRESS,LANDED,tracked-artifact=ai_docs/safe-ci-dag-runner-library-mode-audit_20260804.md,,,,hermit-238b,"P1: audit tick-hub — are we using it, what does it poll, and why didn't it catch 2-days-red main? Integrate operational health polling (main-red, PR-red, stuck agents)"
verify-implemented-tasks-landed-for-closure,IN_PROGRESS,UNVERIFIABLE,implementation-claim-without-verifiable-reference,,,,hermit-238b,P1: 68 tasks sit IN_PROGRESS tagged `implemented` awaiting COORDINATOR closure — ancestry-verify which PRs actually landed so the graph stops lying about what is in flight
vfork-child-stuck-in-ptrace-stop-parent-spins-on-futex-forever,IN_PROGRESS,LANDED,"merged-main-pr=https://github.com/rrnewton/reverie/pull/355; tracked-artifact=ai_docs/transient/2026-08-04-reverie-355-vfork-reap-livelock-analysis.md,ai_docs/transient/2026-08-04-reverie-355-vfork-reap-livelock-analysis.md",,,https://github.com/rrnewton/reverie/pull/355,hermit-250,"P0: `vfork` child STOPPED IN PTRACE while parent spins 99.9% CPU on a futex — UNSATISFIABLE, not slow. Likely the cause of main being unverified for 14 commits."
